Array size,HeapSort comparisons,MergeSort comparisons,InsertionSort comparisons
2,16,15,5
4,47,49,13
8,117,129,29
16,289,313,61
32,697,729,125
64,1673,1657,253
128,3849,3705,509
256,8785,8185,1021
512,19649,17913,2045
1024,43457,38905,4093
2048,94625,83961,8189
4096,207777,180217,16381
8192,449897,385017,32765
16384,961577,819193,65533
32768,2.0492e+006,1.7367e+006,131069
65536,4.36734e+006,3.67001e+006,262141
