Array size,HeapSort comparisons,MergeSort comparisons,InsertionSort comparisons
2,12,15,5
4,31,49,19
8,93,129,71
16,225,313,271
32,561,729,1055
64,1377,1657,4159
128,3257,3705,16511
256,7465,8185,65791
512,16881,17913,262655
1024,37753,38905,1.0496e+006
2048,84185,83961,4.19635e+006
4096,184457,180217,1.67813e+007
8192,401401,385017,6.71171e+007
16384,869473,819193,2.68452e+008
32768,1.87403e+006,1.7367e+006,1.07377e+009
65536,3.99426e+006,3.67001e+006,65535
